####################################################################################################
# EDGE CASES                                                                                       #
####################################################################################################
# The following changes are needed to make the schema more "accurate".                             #
#                                                                                                  #
# Any line beginning with a pound sign will be ignored.                                            #
# Anything after a semicolon will also be ignored.                                                 #
####################################################################################################
# COMMANDS                                                                                         #
#                                                                                                  #
# DELETE ITEM <defindex> - Removes item from the schema entirely.                                  #
# SET SLOT <defindex> <value> - Sets item's slot.                                                  #
# TOGGLE PAINT <defindex> - Reverses item's paintability.                                          #
# TOGGLE NAMING <defindex> - Reverses item's nameability.                                          #
# TOGGLE RARITY <defindex> <value> - Reverses a rarity being allowed on an item.                   #
# REMOVE STYLES <defindex> - Removes all styles from the item.                                     #
# RENAME STYLE <defindex> <style#> <new_name> - Give a style a friendlier name. Starts at 0        #
####################################################################################################

####################################################################################################
# Duplicate Items - My personal preference on these is to keep the first entry and remove any      #
# others afterwards.                                                                               #
####################################################################################################

DELETE ITEM 294; Lugermorph duplicate
DELETE ITEM 831; Promo Red-Tape Recorder
DELETE ITEM 833; Promo Flying Guillotine
DELETE ITEM 835; Promo Triad Trinket
DELETE ITEM 836; Promo Champ Stamp
DELETE ITEM 834; Promo Neon Annihilator
DELETE ITEM 832; Promo Huo-Long Heater
DELETE ITEM 850; Deflector
DELETE ITEM 576; Spine-Chilling Skull 2011. The site uses the individual components instead.
DELETE ITEM 838; Promo Human Cannonball
DELETE ITEM 744; Vintage Pyrovision Goggles
DELETE ITEM 837; Promo Marxman
DELETE ITEM 736; Sapper duplicate
DELETE ITEM 1057; TF_Gatebot_Light mistake item
DELETE ITEM 1058; TF_Gatebot_Light mistake item
DELETE ITEM 1059; TF_Gatebot_Light mistake item
DELETE ITEM 1060; TF_Gatebot_Light mistake item
DELETE ITEM 1061; TF_Gatebot_Light mistake item
DELETE ITEM 1062; TF_Gatebot_Light mistake item
DELETE ITEM 1063; TF_Gatebot_Light mistake item
DELETE ITEM 1064; TF_Gatebot_Light mistake item
DELETE ITEM 1065; TF_Gatebot_Light mistake item

# 30149-30161 Robo-hats that are just white circles
DELETE ITEM 30143;
DELETE ITEM 30144;
DELETE ITEM 30145;
DELETE ITEM 30146;
DELETE ITEM 30147;
DELETE ITEM 30148; Not actually a white circle but still
DELETE ITEM 30149;
DELETE ITEM 30150;
